state_id,n_actions,mean_Q,min_Q,median_Q,top3_Q,sd_Q,min_stability_mean,min_stability_sd,between_action_var,within_action_var,variance_ratio,f_stat,f_pvalue
37,295,89.6235593220339,78.55,89.6,79.91666666666667,3.702432443086381,78.89999999999999,0.3774917217635377,13.708005995618588,250.920223015165,0.0546309334134065,1.0926186682681294,0.13873032451944886
38,295,150.1062711864407,137.45,150.2,138.1,4.657208916528672,136.53333333333333,1.4597374193098365,21.68959489219417,348.5522836752899,0.062227665426516386,1.2445533085303284,0.003493044805711662
39,295,105.06593220338983,90.15,104.9,93.33333333333333,4.612114378786267,90.58333333333333,0.9751068317540033,21.271599043007033,407.9361909009812,0.052144427284144326,1.0428885456828902,0.29988794093834653
40,295,156.26677966101695,143.8,156.1,143.8,4.8638292355137205,142.8,1.3228756555322954,23.65683483223798,302.08098126672616,0.0783128905799928,1.5662578115998569,5.861252130709435e-09
41,295,155.68813559322035,143.5,155.75,143.61666666666667,4.716151677821506,143.41666666666666,0.2843120351538718,22.242086648218603,280.3362533452274,0.0793407430641088,1.5868148612821777,2.043706797131845e-09
42,295,155.81,140.3,155.9,141.53333333333333,4.694255064676918,140.71666666666667,1.229159604499481,22.036030612244893,293.2392774308653,0.07514692712827378,1.5029385425654775,1.3130121262249216e-07
43,295,88.58237288135592,79.2,88.4,80.56666666666668,3.5120847438866947,78.93333333333334,0.9291573243177553,12.33473924824167,225.38174843889385,0.05472820817869332,1.0945641635738654,0.13400977052052895
44,295,80.45203389830507,69.0,80.1,69.89999999999999,4.2980986856716275,69.51666666666667,0.9385272150200683,18.47365231177217,241.8694647636039,0.0763786050042645,1.5275721000852887,4.016546039164815e-08
45,295,123.69915254237289,107.7,123.75,110.16666666666667,4.6799733588896615,109.2,3.1320919526731648,21.902150639916982,306.89961641391614,0.07136584560072408,1.4273169120144815,4.028566851362287e-06
46,295,107.30745762711865,94.65,107.25,95.93333333333332,4.15815058691608,93.53333333333335,3.3668729309751724,17.29021630347054,325.4554504906333,0.053126215208272126,1.0625243041654424,0.22706550857774513
47,295,95.25372881355932,80.65,95.45,81.95,4.816085539751944,79.33333333333334,1.25532200384337,23.194679926207773,341.5954415700267,0.06790102297501792,1.3580204595003555,6.847440176756382e-05
48,295,89.99796610169491,78.05,89.95,78.39999999999999,4.754732257697,78.11666666666666,1.3012814197295466,22.607478842384413,328.4677966101695,0.06882707856202813,1.3765415712405624,3.309647913343893e-05
49,295,153.21576271186441,138.05,153.3,140.0666666666667,5.1152796331985355,138.36666666666667,0.42524502740576386,26.166085725815748,382.8923728813559,0.06833796538935928,1.3667593077871856,4.8727379516007016e-05
