exp,part,param,dim,features,cnot_mean,cnot_std,depth_mean,depth_std,time_mean,R2,MAE,RMSE,r,rank_rho,ok_rate
C_cd_rk,C,,326,"['flatten', 'col_deg', 'rank']",42.4,4.61519230368573,54.4,4.61519230368573,0.4365230800001882,0.9891589238302523,0.7563862724304199,1.086928917386892,0.9945694918944252,0.9892848056906521,1.0
C_pv_ar,C,,302,"['flatten', 'pivot_candidates', 'active_rows']",41.4,3.9115214431215892,53.4,3.9115214431215892,0.3302568799997971,0.9902139542599981,0.6790087623596192,1.0326866575913907,0.9951344725966021,0.9900894507508013,1.0
C_rk_ar,C,,302,"['flatten', 'rank', 'active_rows']",45.0,2.5495097567963922,57.0,2.5495097567963922,0.44833834000019124,0.9906680016352092,0.6463681449890136,1.008445128300913,0.9953570742005257,0.9899670996184626,1.0
C_rk_pv,C,,302,"['flatten', 'rank', 'pivot_candidates']",43.6,3.714835124201342,55.6,3.714835124201342,0.4795038199998089,0.9895654413194481,0.7699313354492188,1.0663554382753917,0.9947792554553769,0.9900627535584199,1.0
C_rw_rk,C,,313,"['flatten', 'row_wt', 'rank']",43.4,1.1401754250991378,55.4,1.1401754250991378,0.40966828000018723,0.9889863566966307,0.7779948844909668,1.0955455742683669,0.994481141547946,0.9864830735339642,1.0
D1_min3B,D,,303,"['flatten', 'rank', 'pivot_candidates', 'active_rows']",41.8,5.310367218940701,53.8,5.310367218940701,0.4714360799996939,0.9899784492655102,0.7096833724975586,1.0450387875975642,0.9949832273316507,0.9894341136289617,1.0
D2_min2A,D,,338,"['flatten', 'col_deg', 'row_wt', 'rank']",44.2,6.379655163094632,56.2,6.379655163094632,0.427187959998264,0.989200044064663,0.7662154960632325,1.0848655966616476,0.9946296725729049,0.9844379583335424,1.0
D3_min2B,D,,302,"['flatten', 'rank', 'pivot_candidates']",43.6,3.714835124201342,55.6,3.714835124201342,0.45682617999918873,0.9895654413194481,0.7699313354492188,1.0663554382753917,0.9947792554553769,0.9900627535584199,1.0
D4_rankOnly,D,,301,"['flatten', 'rank']",41.2,2.949576240750525,53.2,2.949576240750525,0.507726859999093,0.9902174631332864,0.6639366264343262,1.0325015015233563,0.9951100206884845,0.9881202243094536,1.0
D5_rank_ar,D,,302,"['flatten', 'rank', 'active_rows']",45.0,2.5495097567963922,57.0,2.5495097567963922,0.48628566000043066,0.9906680016352092,0.6463681449890136,1.008445128300913,0.9953570742005257,0.9899670996184626,1.0
Ref_Baseline,REF,,300,['flatten'],44.0,4.123105625617661,56.0,4.123105625617661,0.3978204999992158,0.9751937849299022,1.2865417938232422,1.6441642377702121,0.9882894217212285,0.9772904172074162,1.0
Ref_Winner,REF,,341,"['flatten', 'col_deg', 'row_wt', 'rank', 'pivot_candidates', 'active_qubits', 'active_rows']",43.0,4.949747468305833,55.0,4.949747468305833,0.5222080800005642,0.9907545314483921,0.6462525596618652,1.0037588978363734,0.9953684238602825,0.9890730565670423,1.0
